Retailer Code,Sub Ret Cat Name,Zone Name,Region Name,Territory Name
ATHU0349,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0353,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0355,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0357,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0359,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0361,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0367,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0369,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0370,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0372,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0373,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0375,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0376,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0379,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0383,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0384,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0386,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0387,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0388,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0389,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0390,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0394,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0395,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0398,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0399,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0400,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0401,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0402,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0403,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0404,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0406,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0408,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0409,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0411,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
ATHU0412,NORMAL,ZONE 02,COLOMBO 02 MAIN,ATHURUGIRIYA
